Unnamed: 0,Master of,Studiengang,Link,Abschluss_official,Start,Modus,Dauer,Semestergebühr
0,Master of Science,Angewandte Psychologie,https://www.fhnw.ch/de/studium/psychologie/master-angewandte-psychologie,Master of Science FHNW in Angewandter Psychologie,16.09.2024,Vollzeit und Flexzeit,Vollzeit: 2 Jahre ,keine Angaben vorhanden
1,Master of Arts,Architektur,https://www.fhnw.ch/de/studium/architektur-bau-geomatik/master-studiengang-architektur,Master of Arts FHNW in Architektur,26.02.2024,Vollzeit,4 Semester,CHF 810 (für CH) | CHF 1110 (für EU) > detaillierte Übersicht siehe ‹Gebühren› bei Informationen zum Bachelor-Studium
2,Master of Science,Virtual Design and Construction (VDC),https://www.fhnw.ch/de/studium/architektur-bau-geomatik/master-studiengang-msc-fhnw-virtual-design-and-construction,Master of Science FHNW,09.09.2024,Voll- oder Teilzeit,"Vollzeit: 3 Semester, Teilzeit: bis zu 6 Semester",CHF 800 (für CH) - detaillierte Übersicht siehe «Downloads» bei «Studieninhalte und -struktur»
3,Master of Science,Master of Science in Engineering MSE,https://www.fhnw.ch/de/studium/architektur-bau-geomatik/master-of-science-fhnw-in-engineering-mse,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
4,Master of Arts,Fine Arts,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/master-of-arts-fhnw-in-fine-arts,Master of Arts FHNW in Fine Arts,Mo 16.09.2024 | Semesterstart ,Vollzeit,4 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
5,Master of Arts,Digital Communication Environments,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/master-of-arts-fhnw-in-design-digital-communication-environments,Master of Arts FHNW,Mo 16.09.2024 | Semesterstart ,Vollzeit,4 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
6,Master of Arts,Masterstudio Fashion Design,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-fashion-design,Master of Arts FHNW,Mo 16.09.2024 | Semesterstart ,Vollzeit,3 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
7,Master of Arts,Masterstudio Experimental Design,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-experimental-design,keine Angaben vorhanden,Mo 19.09.2024 ,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
8,Master of Arts,Masterstudio Scenography,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-scenography,Master of Arts FHNW,Mo. 16.09.2024 | Herbstsemester,Vollzeit,3 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
9,Master of Arts,Masterstudio Industrial Design,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-industrial-design,Master of Arts FHNW,Mo. 16.09.2024 | Herbstsemester,Vollzeit,3 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
10,Master of Arts,"Vermittlung von Kunst und Design, Lehrdiplom für Maturitätsschulen",https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/ma-vermittlung-kunst-design,Master of Arts FHNW,Mo. 16.09.2024 | Herbstsemester,Vollzeit,4 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
11,Master of Arts,Transversal Design*,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/ma-transversaldesign,Master of Arts FHNW,Mo. 16.09.2024 | Herbstsemester*,Vollzeit,4 Semester,CHF 700 (CH); CHF 1.000 (EU); CHF 1.250 (Nicht-EU/EFTA) 
12,Master of Science,Life Sciences,https://www.fhnw.ch/de/studium/lifesciences/master/life-sciences,Master of Science in Life Sciences,keine Angaben vorhanden,Voll- und Teilzeit,keine Angaben vorhanden,keine Angaben vorhanden
13,Master of Science,Medical Informatics,https://www.fhnw.ch/de/studium/lifesciences/master/medical-informatics,Master of Science in Medical Informatics,keine Angaben vorhanden,Voll- und Teilzeit,3 Semester (vollzeit),keine Angaben vorhanden
14,Master of Arts,Spezialisierte Performance,https://www.fhnw.ch/de/studium/musik/spezialisierte-performance,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
15,Master of Arts,Performance,https://www.fhnw.ch/de/studium/musik/performance-ma,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
16,Master of Arts,Musikpädagogik,https://www.fhnw.ch/de/studium/musik/musikpaedagogik-master,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
17,Master of Arts,Komposition/ Musiktheorie,https://www.fhnw.ch/de/studium/musik/master-komposition-musiktheorie,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
18,Master of Arts,Musik und Szene in Transformation,https://www.fhnw.ch/de/studium/musik/musik-und-szene-in-transformation,Master of Arts Musik und Szene in Transformation*,keine Angaben vorhanden,Vollzeit,4 Semester,700 CHF (CH) | 1000 CHF (EU/EFTA-Länder) | 1250 CHF (Nicht-EU/Nicht-EFTA) 
19,Bachelor/Master of Arts,Sekundarstufe I,https://www.fhnw.ch/de/studium/paedagogik/sekundarstufe-1,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
20,Lehrdiplom,Sekundarstufe II,https://www.fhnw.ch/de/studium/paedagogik/sekundarstufe-2,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden,keine Angaben vorhanden
21,Master of Arts,Sonderpädagogik,https://www.fhnw.ch/de/studium/paedagogik/master-sonderpaedagogik,EDK-anerkanntes Diplom im Bereich Sonderpädagogik sowie Master of Arts FHNW in Special Needs Education,keine Angaben vorhanden,Vollzeit / Teilzeit,4-8 Semester,700 CHF (Wohnsitz in CH). 
22,Master of Arts,Soziale Arbeit,https://www.fhnw.ch/de/studium/soziale-arbeit/master,Master of Arts FHNW in Sozialer Arbeit,keine Angaben vorhanden,keine Angaben vorhanden,"Vollzeit 3, Teilzeit bis 8 Semester",CHF 700
23,Master of Science,Engineering MSE,https://www.fhnw.ch/de/studium/technik/mse,Master of Science FHNW in Engineering,Jeweils im Frühlings- oder Herbstsemester,"Vollzeit, Teilzeit",keine Angaben vorhanden,700 – 5'000 CHF siehe Organisatorisches / Gebühren
24,Master of Science,Business Information Systems,https://www.fhnw.ch/de/studium/wirtschaft/msc-bis-business-information-systems,"Master of Science FHNW in Business Information Systems, MSc in Computer Science University of Camerino",September / Februar,"Vollzeit oder Teilzeit, Option für Dual Degree",1.5 oder 2.5 Jahre,CHF 700
25,Master of Science,International Management,https://www.fhnw.ch/de/studium/wirtschaft/msc-im,"Master of Science FHNW in International Management, Double Degrees*",keine Angaben vorhanden,Dynamisch,1.5 bis 2 Jahre,"CHF 700 (CH), *zusätzliche Kosten"
26,Master of Science,Sustainable Business Development (trinational),https://www.fhnw.ch/de/studium/wirtschaft/msc-tri,Triple Degree: 3 international ,keine Angaben vorhanden,Vollzeit,2 Jahre,CHF 700 (mit Wohnsitz Schweiz) 
